Episode 355/2000 | Reward: 134.34 | Max X: 4122.0
Episode 356/2000 | Reward: 145.60 | Max X: 2770.0
Episode 357/2000 | Reward: 65.26 | Max X: 3213.0
Episode 358/2000 | Reward: 64.48 | Max X: 3224.0
Episode 359/2000 | Reward: 140.22 | Max X: 4138.0
Episode 360/2000 | Reward: 149.06 | Max X: 3707.0
Episode 361/2000 | Reward: 104.30 | Max X: 4116.0
Episode 362/2000 | Reward: 82.00 | Max X: 3092.0
Episode 363/2000 | Reward: 124.66 | Max X: 2946.0
Episode 364/2000 | Reward: 133.48 | Max X: 3247.0
Episode 365/2000 | Reward: 167.60 | Max X: 2612.0
Episode 366/2000 | Reward: 105.10 | Max X: 2338.0
Episode 367/2000 | Reward: 99.54 | Max X: 2569.0
Episode 368/2000 | Reward: 167.64 | Max X: 2569.0
Episode 369/2000 | Reward: 143.56 | Max X: 2675.0
Episode 370/2000 | Reward: 184.88 | Max X: 2566.0
Episode 371/2000 | Reward: 173.38 | Max X: 2692.0
Episode 372/2000 | Reward: 166.52 | Max X: 2592.0
Episode 373/2000 | Reward: 135.18 | Max X: 2642.0
Episode 374/2000 | Reward: 126.72 | Max X: 2707.0
Episode 375/2000 | Reward: 94.12 | Max X: 2948.0
Episode 376/2000 | Reward: 61.84 | Max X: 3092.0
Episode 377/2000 | Reward: 83.38 | Max X: 3169.0
Episode 378/2000 | Reward: 62.82 | Max X: 3091.0
Episode 379/2000 | Reward: 59.48 | Max X: 2924.0
Episode 380/2000 | Reward: 68.02 | Max X: 2770.0
Episode 381/2000 | Reward: 118.84 | Max X: 2970.0
Episode 382/2000 | Reward: 60.78 | Max X: 2989.0
Episode 383/2000 | Reward: 137.94 | Max X: 2809.0
Episode 384/2000 | Reward: 81.80 | Max X: 3086.0
Episode 385/2000 | Reward: 70.84 | Max X: 3492.0
Episode 386/2000 | Reward: 154.72 | Max X: 3557.0
Episode 387/2000 | Reward: 74.44 | Max X: 3722.0
Episode 388/2000 | Reward: 74.64 | Max X: 3732.0
Episode 389/2000 | Reward: 149.44 | Max X: 4757.0
Episode 390/2000 | Reward: 122.44 | Max X: 4169.0
Episode 391/2000 | Reward: 141.10 | Max X: 2718.0
Episode 392/2000 | Reward: 129.78 | Max X: 4687.0
Episode 393/2000 | Reward: 157.32 | Max X: 2994.0
Episode 394/2000 | Reward: 146.58 | Max X: 4001.0
Episode 395/2000 | Reward: 88.92 | Max X: 3437.0
Episode 396/2000 | Reward: 171.62 | Max X: 2958.0
Episode 397/2000 | Reward: 68.74 | Max X: 2989.0
Episode 398/2000 | Reward: 102.96 | Max X: 2946.0
Episode 399/2000 | Reward: 105.54 | Max X: 2947.0
Episode 400/2000 | Reward: 46.70 | Max X: 2335.0
Episode 401/2000 | Reward: 69.76 | Max X: 2787.0
Episode 402/2000 | Reward: 65.78 | Max X: 2587.0
Episode 403/2000 | Reward: 65.90 | Max X: 2298.0
Episode 404/2000 | Reward: 78.00 | Max X: 2280.0
Episode 405/2000 | Reward: 91.18 | Max X: 2543.0
Episode 406/2000 | Reward: 107.74 | Max X: 2851.0
Episode 407/2000 | Reward: 132.60 | Max X: 3089.0
Episode 408/2000 | Reward: 99.52 | Max X: 2947.0
Episode 409/2000 | Reward: 63.04 | Max X: 2852.0
Episode 410/2000 | Reward: 158.92 | Max X: 2718.0
Episode 411/2000 | Reward: 59.94 | Max X: 2947.0
Episode 412/2000 | Reward: 99.60 | Max X: 2911.0
Episode 413/2000 | Reward: 79.40 | Max X: 3055.0
Episode 414/2000 | Reward: 66.20 | Max X: 3260.0
Episode 415/2000 | Reward: 86.00 | Max X: 2955.0
Episode 416/2000 | Reward: 81.60 | Max X: 3022.0
Episode 417/2000 | Reward: 60.20 | Max X: 2960.0
Episode 418/2000 | Reward: 61.84 | Max X: 3092.0
Episode 419/2000 | Reward: 134.42 | Max X: 3728.0
Episode 420/2000 | Reward: 156.06 | Max X: 3997.0
Episode 421/2000 | Reward: 115.40 | Max X: 2948.0
Episode 422/2000 | Reward: 141.24 | Max X: 2947.0
Episode 423/2000 | Reward: 144.68 | Max X: 2947.0
Episode 424/2000 | Reward: 127.28 | Max X: 2946.0
Episode 425/2000 | Reward: 134.54 | Max X: 2947.0
Episode 426/2000 | Reward: 158.50 | Max X: 4690.0
Episode 427/2000 | Reward: 128.34 | Max X: 2946.0
Episode 428/2000 | Reward: 156.20 | Max X: 2947.0
Episode 429/2000 | Reward: 169.46 | Max X: 2946.0
Episode 430/2000 | Reward: 104.28 | Max X: 4206.0
Episode 431/2000 | Reward: 151.62 | Max X: 4010.0
Episode 432/2000 | Reward: 150.82 | Max X: 3938.0
Episode 433/2000 | Reward: 113.28 | Max X: 3705.0
Episode 434/2000 | Reward: 151.74 | Max X: 4214.0
Episode 435/2000 | Reward: 66.22 | Max X: 3261.0
Episode 436/2000 | Reward: 110.54 | Max X: 2948.0
Episode 437/2000 | Reward: 112.66 | Max X: 2706.0
Episode 438/2000 | Reward: 72.54 | Max X: 2669.0
Episode 439/2000 | Reward: 135.14 | Max X: 2524.0
Episode 440/2000 | Reward: 63.92 | Max X: 2818.0
Episode 441/2000 | Reward: 91.88 | Max X: 2422.0
Episode 442/2000 | Reward: 46.16 | Max X: 2308.0
Episode 443/2000 | Reward: 48.00 | Max X: 2398.0
Episode 444/2000 | Reward: 87.88 | Max X: 2440.0
Episode 445/2000 | Reward: 64.98 | Max X: 2308.0
Episode 446/2000 | Reward: 82.40 | Max X: 2200.0
Episode 447/2000 | Reward: 111.66 | Max X: 2610.0
Episode 448/2000 | Reward: 141.26 | Max X: 2714.0
Episode 449/2000 | Reward: 133.42 | Max X: 2946.0
Episode 450/2000 | Reward: 109.70 | Max X: 2714.0
Episode 451/2000 | Reward: 140.32 | Max X: 4546.0
Episode 452/2000 | Reward: 108.00 | Max X: 4045.0
Episode 453/2000 | Reward: 71.88 | Max X: 3594.0
Episode 454/2000 | Reward: 157.28 | Max X: 4058.0
Episode 455/2000 | Reward: 55.82 | Max X: 1880.0
Episode 456/2000 | Reward: 70.50 | Max X: 3475.0
Episode 457/2000 | Reward: 104.46 | Max X: 3723.0
Episode 458/2000 | Reward: 106.24 | Max X: 4320.0
Episode 459/2000 | Reward: 106.00 | Max X: 4290.0
Episode 460/2000 | Reward: 123.82 | Max X: 3468.0
Episode 461/2000 | Reward: 153.20 | Max X: 2707.0
Episode 462/2000 | Reward: 113.80 | Max X: 2946.0
Episode 463/2000 | Reward: 130.98 | Max X: 2946.0
Episode 464/2000 | Reward: 121.42 | Max X: 3458.0
Episode 465/2000 | Reward: 158.24 | Max X: 2947.0
Episode 466/2000 | Reward: 89.48 | Max X: 4424.0
Episode 467/2000 | Reward: 160.10 | Max X: 3546.0
