episode,reward,max_x
482,18.6600,1083.0000
483,21.0800,1204.0000
484,36.4200,1971.0000
485,18.3800,1069.0000
486,58.5200,3076.0000
487,52.8800,2794.0000
488,18.0600,1053.0000
489,19.0400,1102.0000
490,18.5200,1076.0000
491,18.4400,1072.0000
492,22.1800,1259.0000
493,18.4200,1071.0000
494,18.2800,1064.0000
495,18.2800,1064.0000
496,36.6800,1984.0000
497,18.0600,1053.0000
498,18.6400,1082.0000
499,18.6000,1080.0000
500,16.7800,989.0000
501,18.2400,1062.0000
502,18.3400,1067.0000
503,18.2000,1060.0000
504,18.7600,1088.0000
505,18.1800,1059.0000
506,58.8600,3043.0000
507,18.2600,1063.0000
508,18.1000,1055.0000
509,18.4800,1074.0000
510,19.4000,1120.0000
511,18.3800,1069.0000
512,18.3800,1069.0000
513,18.5000,1075.0000
514,18.1600,1058.0000
515,18.2000,1060.0000
516,57.1800,2959.0000
517,18.3200,1066.0000
518,18.0800,1054.0000
519,18.4000,1070.0000
520,13.6600,833.0000
521,18.5800,1079.0000
522,19.0800,1104.0000
523,18.3800,1069.0000
524,18.4400,1072.0000
525,18.6800,1084.0000
526,49.4400,2622.0000
527,56.3200,2916.0000
528,18.4400,1072.0000
529,18.6600,1083.0000
530,56.9400,2947.0000
531,18.8200,1091.0000
532,48.7400,2587.0000
533,13.6000,830.0000
534,49.2600,2613.0000
535,18.2000,1060.0000
536,18.4800,1074.0000
537,18.6400,1082.0000
538,13.4800,824.0000
539,18.4000,1070.0000
540,18.8000,1090.0000
541,18.7600,1088.0000
542,58.7800,3089.0000
543,22.1600,1258.0000
544,57.0600,2953.0000
545,18.6800,1084.0000
546,18.1000,1055.0000
547,15.3200,916.0000
548,18.6600,1083.0000
549,18.5000,1075.0000
550,50.4600,2673.0000
551,19.5200,1126.0000
552,18.4400,1072.0000
553,18.1600,1058.0000
554,18.1200,1056.0000
555,19.1000,1105.0000
556,18.3400,1067.0000
557,18.2000,1060.0000
558,18.9600,1098.0000
559,19.2000,1110.0000
560,18.2800,1064.0000
561,13.6200,831.0000
562,14.6800,884.0000
563,36.7600,1988.0000
564,18.4400,1072.0000
565,59.1800,3109.0000
566,18.2600,1063.0000
567,51.5200,2726.0000
568,52.2200,2761.0000
569,18.4400,1072.0000
570,13.1600,808.0000
571,18.1600,1058.0000
572,19.2800,1114.0000
573,18.5200,1076.0000
574,20.0600,1153.0000
575,18.2800,1064.0000
576,19.6200,1131.0000
577,18.3200,1066.0000
578,18.3000,1065.0000
579,18.2200,1061.0000
580,18.2000,1060.0000
581,13.7400,837.0000
582,18.6000,1080.0000
583,51.1600,2708.0000
584,18.3200,1066.0000
