T,trajectories,best_r,best_x
154900,25,113.4000,5370
155000,25,113.4000,5370
155100,25,113.4000,5370
155200,25,113.4000,5370
155300,25,113.4000,5370
155400,25,113.4000,5370
155500,25,113.4000,5370
155600,25,113.4000,5370
155700,25,113.4000,5370
155800,25,113.4000,5370
155900,25,113.4000,5370
156000,25,113.4000,5370
156100,25,113.4000,5370
156200,25,113.4000,5370
156300,25,113.4000,5370
156400,25,113.4000,5370
156500,25,113.4000,5370
156600,25,113.4000,5370
156700,25,113.4000,5370
156800,25,113.4000,5370
156900,25,113.4000,5370
157000,25,113.4000,5370
157100,25,113.4000,5370
157200,25,113.4000,5370
157300,25,113.4000,5370
157400,25,113.4000,5370
157500,25,113.4000,5370
157600,25,113.4000,5370
157700,25,113.4000,5370
157800,25,113.4000,5370
157900,25,113.4000,5370
158000,25,113.4000,5370
158100,25,113.4000,5370
158200,25,113.4000,5370
158300,25,113.4000,5370
158400,25,113.4000,5370
158500,25,113.4000,5370
158600,25,113.4000,5370
158700,25,113.4000,5370
158800,25,113.4000,5370
158900,25,113.4000,5370
159000,25,113.4000,5370
159100,25,113.4000,5370
159200,25,113.4000,5370
159300,25,113.4000,5370
159400,25,113.4000,5370
159500,25,113.4000,5370
159600,25,113.4000,5370
159700,25,113.4000,5370
159800,25,113.4000,5370
159900,25,113.4000,5370
160000,25,113.4000,5370
160100,25,113.4000,5370
160200,25,113.4000,5370
160300,25,113.4000,5370
160400,25,113.4000,5370
160500,25,113.4000,5370
160600,25,113.4000,5370
160700,25,113.4000,5370
160800,25,113.4000,5370
160900,25,113.4000,5370
161000,25,113.4000,5370
161100,25,113.4000,5370
161200,25,113.4000,5370
161300,25,113.4000,5370
161400,25,113.4000,5370
161500,25,113.4000,5370
161600,25,113.4000,5370
161700,25,113.4000,5370
161800,25,113.4000,5370
161900,25,113.4000,5370
162000,25,113.4000,5370
162100,25,113.4000,5370
162200,25,113.4000,5370
162300,25,113.4000,5370
162400,25,113.4000,5370
162500,25,113.4000,5370
162600,25,113.4000,5370
162700,25,113.4000,5370
162800,25,113.4000,5370
162900,25,113.4000,5370
163000,25,113.4000,5370
163100,25,113.4000,5370
163200,25,113.4000,5370
163300,25,113.4000,5370
163400,25,113.4000,5370
163500,25,113.4000,5370
163600,25,113.4000,5370
163700,25,113.4000,5370
163800,25,113.4000,5370
163900,25,113.4000,5370
164000,25,113.4000,5370
164100,25,113.4000,5370
164200,25,113.4000,5370
164300,25,113.4000,5370
164400,25,113.4000,5370
164500,25,113.4000,5370
164600,25,113.4000,5370
164700,25,113.4000,5370
164800,25,113.4000,5370
164900,25,113.4000,5370
165000,25,113.4000,5370
165100,25,113.4000,5370
165200,25,113.4000,5370
165300,25,113.4000,5370
165400,25,113.4000,5370
165500,25,113.4000,5370
165600,25,113.4000,5370
165700,25,113.4000,5370
165800,25,113.4000,5370
165900,25,113.4000,5370
166000,25,113.4000,5370
166100,25,113.4000,5370
166200,25,113.4000,5370
166300,25,113.4000,5370
166400,25,113.4000,5370
166500,25,113.4000,5370
166600,25,113.4000,5370
166700,25,113.4000,5370
166800,25,113.4000,5370
166900,25,113.4000,5370
167000,25,113.4000,5370
167100,25,113.4000,5370
167200,25,113.4000,5370
167300,25,113.4000,5370
167400,25,113.4000,5370
167500,25,113.4000,5370
167600,25,113.4000,5370
167700,25,113.4000,5370
167800,25,113.4000,5370
167900,25,113.4000,5370
168000,25,113.4000,5370
168100,25,113.4000,5370
168200,25,113.4000,5370
168300,25,113.4000,5370
168400,25,113.4000,5370
168500,25,113.4000,5370
168600,25,113.4000,5370
168700,25,113.4000,5370
168800,25,113.4000,5370
168900,25,113.4000,5370
169000,25,113.4000,5370
169100,25,113.4000,5370
169200,25,113.4000,5370
169300,25,113.4000,5370
169400,25,113.4000,5370
169500,25,113.4000,5370
169600,25,113.4000,5370
169700,25,113.4000,5370
169800,25,113.4000,5370
169900,25,113.4000,5370
170000,25,113.4000,5370
170100,25,113.4000,5370
170200,25,113.4000,5370
170300,25,113.4000,5370
170400,25,113.4000,5370
170500,25,113.4000,5370
170600,25,113.4000,5370
170700,25,113.4000,5370
170800,25,113.4000,5370
170900,25,113.4000,5370
171000,25,113.4000,5370
171100,25,113.4000,5370
171200,25,113.4000,5370
171300,25,113.4000,5370
171400,25,113.4000,5370
171500,25,113.4000,5370
171600,25,113.4000,5370
171700,25,113.4000,5370
171800,25,113.4000,5370
171900,25,113.4000,5370
172000,25,113.4000,5370
172100,25,113.4000,5370
172200,25,113.4000,5370
172300,25,113.4000,5370
172400,25,113.4000,5370
172500,25,113.4000,5370
172600,25,113.4000,5370
172700,25,113.4000,5370
172800,25,113.4000,5370
172900,25,113.4000,5370
173000,25,113.4000,5370
173100,25,113.4000,5370
173200,25,113.4000,5370
173300,25,113.4000,5370
173400,25,113.4000,5370
173500,25,113.4000,5370
173600,25,113.4000,5370
173700,25,113.4000,5370
173800,25,113.4000,5370
173900,25,113.4000,5370
174000,25,113.4000,5370
174100,25,113.4000,5370
174200,25,113.4000,5370
174300,25,113.4000,5370
174400,25,113.4000,5370
174500,25,113.4000,5370
174600,25,113.4000,5370
174700,25,113.4000,5370
174800,25,113.4000,5370
174900,25,113.4000,5370
175000,25,113.4000,5370
175100,25,113.4000,5370
175200,25,113.4000,5370
175300,25,113.4000,5370
175400,25,113.4000,5370
175500,25,113.4000,5370
175600,25,113.4000,5370
175700,25,113.4000,5370
175800,25,113.4000,5370
175900,25,113.4000,5370
176000,25,113.4000,5370
176100,25,113.4000,5370
176200,25,113.4000,5370
176300,25,113.4000,5370
176400,25,113.4000,5370
176500,25,113.4000,5370
176600,25,113.4000,5370
176700,25,113.4000,5370
176800,25,113.4000,5370
176900,25,113.4000,5370
177000,25,113.4000,5370
177100,25,113.4000,5370
177200,25,113.4000,5370
177300,25,113.4000,5370
177400,25,113.4000,5370
177500,25,113.4000,5370
177600,25,113.4000,5370
177700,25,113.4000,5370
177800,25,113.4000,5370
177900,25,113.4000,5370
178000,25,113.4000,5370
178100,25,113.4000,5370
178200,25,113.4000,5370
178300,25,113.4000,5370
178400,25,113.4000,5370
178500,25,113.4000,5370
178600,25,113.4000,5370
178700,25,113.4000,5370
178800,25,113.4000,5370
178900,25,113.4000,5370
179000,25,113.4000,5370
179100,25,113.4000,5370
179200,25,113.4000,5370
179300,25,113.4000,5370
179400,25,113.4000,5370
179500,25,113.4000,5370
179600,25,113.4000,5370
179700,25,113.4000,5370
179800,25,113.4000,5370
179900,25,113.4000,5370
180000,25,113.4000,5370
180100,25,113.4000,5370
180200,25,113.4000,5370
180300,25,113.4000,5370
180400,25,113.4000,5370
180500,25,113.4000,5370
180600,25,113.4000,5370
180700,25,113.4000,5370
180800,25,113.4000,5370
180900,25,113.4000,5370
181000,25,113.4000,5370
181100,25,113.4000,5370
181200,25,113.4000,5370
181300,25,113.4000,5370
181400,25,113.4000,5370
181500,25,113.4000,5370
181600,25,113.4000,5370
181700,25,113.4000,5370
181800,25,113.4000,5370
181900,25,113.4000,5370
182000,25,113.4000,5370
182100,25,113.4000,5370
182200,25,113.4000,5370
182300,25,113.4000,5370
182400,25,113.4000,5370
182500,25,113.4000,5370
182600,25,113.4000,5370
182700,25,113.4000,5370
182800,25,113.4000,5370
182900,25,113.4000,5370
183000,25,113.4000,5370
183100,25,113.4000,5370
183200,25,113.4000,5370
183300,25,113.4000,5370
183400,25,113.4000,5370
183500,25,113.4000,5370
183600,25,113.4000,5370
183700,25,113.4000,5370
183800,25,113.4000,5370
183900,25,113.4000,5370
184000,25,113.4000,5370
184100,25,113.4000,5370
184200,25,113.4000,5370
184300,25,113.4000,5370
184400,25,113.4000,5370
184500,25,113.4000,5370
184600,25,113.4000,5370
184700,25,113.4000,5370
184800,25,113.4000,5370
184900,25,113.4000,5370
185000,25,113.4000,5370
185100,25,113.4000,5370
185200,25,113.4000,5370
185300,25,113.4000,5370
185400,25,113.4000,5370
185500,25,113.4000,5370
185600,25,113.4000,5370
185700,25,113.4000,5370
185800,25,113.4000,5370
185900,25,113.4000,5370
186000,25,113.4000,5370
186100,25,113.4000,5370
186200,25,113.4000,5370
186300,25,113.4000,5370
186400,25,113.4000,5370
186500,25,113.4000,5370
186600,25,113.4000,5370
186700,25,113.4000,5370
186800,25,113.4000,5370
186900,25,113.4000,5370
187000,25,113.4000,5370
187100,25,113.4000,5370
187200,25,113.4000,5370
187300,25,113.4000,5370
187400,25,113.4000,5370
187500,25,113.4000,5370
187600,25,113.4000,5370
187700,25,113.4000,5370
187800,25,113.4000,5370
187900,25,113.4000,5370
188000,25,113.4000,5370
188100,25,113.4000,5370
188200,25,113.4000,5370
188300,25,113.4000,5370
188400,25,113.4000,5370
188500,25,113.4000,5370
188600,25,113.4000,5370
188700,25,113.4000,5370
188800,25,113.4000,5370
188900,25,113.4000,5370
189000,25,113.4000,5370
189100,25,113.4000,5370
189200,25,113.4000,5370
189300,25,113.4000,5370
189400,25,113.4000,5370
189500,25,113.4000,5370
189600,25,113.4000,5370
189700,25,113.4000,5370
189800,25,113.4000,5370
189900,25,113.4000,5370
190000,25,113.4000,5370
190100,25,113.4000,5370
190200,25,113.4000,5370
190300,25,113.4000,5370
190400,25,113.4000,5370
190500,25,113.4000,5370
190600,25,113.4000,5370
190700,25,113.4000,5370
190800,25,113.4000,5370
190900,25,113.4000,5370
191000,25,113.4000,5370
191100,25,113.4000,5370
191200,25,113.4000,5370
191300,25,113.4000,5370
191400,25,113.4000,5370
191500,25,113.4000,5370
191600,25,113.4000,5370
191700,25,113.4000,5370
191800,25,113.4000,5370
191900,25,113.4000,5370
192000,25,113.4000,5370
192100,25,113.4000,5370
192200,25,113.4000,5370
192300,25,113.4000,5370
192400,25,113.4000,5370
192500,25,113.4000,5370
192600,25,113.4000,5370
192700,25,113.4000,5370
192800,25,113.4000,5370
192900,25,113.4000,5370
193000,25,113.4000,5370
193100,25,113.4000,5370
193200,25,113.4000,5370
193300,25,113.4000,5370
193400,25,113.4000,5370
193500,25,113.4000,5370
193600,25,113.4000,5370
193700,25,113.4000,5370
193800,25,113.4000,5370
193900,25,113.4000,5370
194000,25,113.4000,5370
194100,25,113.4000,5370
194200,25,113.4000,5370
194300,25,113.4000,5370
194400,25,113.4000,5370
194500,25,113.4000,5370
194600,25,113.4000,5370
194700,25,113.4000,5370
194800,25,113.4000,5370
194900,25,113.4000,5370
195000,25,113.4000,5370
195100,25,113.4000,5370
195200,25,113.4000,5370
195300,25,113.4000,5370
195400,25,113.4000,5370
195500,25,113.4000,5370
195600,25,113.4000,5370
195700,25,113.4000,5370
195800,25,113.4000,5370
195900,25,113.4000,5370
196000,25,113.4000,5370
196100,25,113.4000,5370
196200,25,113.4000,5370
196300,25,113.4000,5370
196400,25,113.4000,5370
196500,25,113.4000,5370
196600,25,113.4000,5370
196700,25,113.4000,5370
196800,25,113.4000,5370
196900,25,113.4000,5370
197000,25,113.4000,5370
197100,25,113.4000,5370
197200,25,113.4000,5370
197300,25,113.4000,5370
197400,25,113.4000,5370
197500,25,113.4000,5370
197600,25,113.4000,5370
197700,25,113.4000,5370
197800,25,113.4000,5370
197900,25,113.4000,5370
198000,25,113.4000,5370
198100,25,113.4000,5370
198200,25,113.4000,5370
198300,25,113.4000,5370
198400,25,113.4000,5370
198500,25,113.4000,5370
198600,25,113.4000,5370
198700,25,113.4000,5370
198800,25,113.4000,5370
198900,25,113.4000,5370
199000,25,113.4000,5370
199100,25,113.4000,5370
199200,25,113.4000,5370
199300,25,113.4000,5370
199400,25,113.4000,5370
199500,25,113.4000,5370
199600,25,113.4000,5370
199700,25,113.4000,5370
199800,25,113.4000,5370
199900,25,113.4000,5370
200000,25,113.4000,5370
200100,25,113.4000,5370
200200,25,113.4000,5370
200300,25,113.4000,5370
200400,25,113.4000,5370
200500,25,113.4000,5370
200600,25,113.4000,5370
200700,25,113.4000,5370
200800,25,113.4000,5370
200900,25,113.4000,5370
201000,25,113.4000,5370
201100,25,113.4000,5370
201200,25,113.4000,5370
201300,25,113.4000,5370
201400,25,113.4000,5370
201500,25,113.4000,5370
201600,25,113.4000,5370
201700,25,113.4000,5370
201800,25,113.4000,5370
201900,25,113.4000,5370
202000,25,113.4000,5370
202100,25,113.4000,5370
202200,25,113.4000,5370
202300,25,113.4000,5370
202400,25,113.4000,5370
202500,25,113.4000,5370
202600,25,113.4000,5370
202700,25,113.4000,5370
202800,25,113.4000,5370
202900,25,113.4000,5370
203000,25,113.4000,5370
203100,25,113.4000,5370
203200,25,113.4000,5370
203300,25,113.4000,5370
203400,25,113.4000,5370
203500,25,113.4000,5370
203600,25,113.4000,5370
203700,25,113.4000,5370
203800,25,113.4000,5370
203900,25,113.4000,5370
204000,25,113.4000,5370
204100,25,113.4000,5370
204200,25,113.4000,5370
204300,25,113.4000,5370
204400,25,113.4000,5370
204500,25,113.4000,5370
204600,25,113.4000,5370
204700,25,113.4000,5370
204800,25,113.4000,5370
204900,25,113.4000,5370
205000,25,113.4000,5370
205100,25,113.4000,5370
205200,25,113.4000,5370
205300,25,113.4000,5370
205400,25,113.4000,5370
205500,25,113.4000,5370
205600,25,113.4000,5370
205700,25,113.4000,5370
205800,25,113.4000,5370
205900,25,113.4000,5370
206000,25,113.4000,5370
206100,25,113.4000,5370
206200,25,113.4000,5370
206300,25,113.4000,5370
206400,25,113.4000,5370
206500,25,113.4000,5370
206600,25,113.4000,5370
206700,25,113.4000,5370
206800,25,113.4000,5370
206900,25,113.4000,5370
207000,25,113.4000,5370
207100,25,113.4000,5370
207200,25,113.4000,5370
207300,25,113.4000,5370
207400,25,113.4000,5370
207500,25,113.4000,5370
207600,25,113.4000,5370
207700,25,113.4000,5370
207800,25,113.4000,5370
207900,25,113.4000,5370
208000,25,113.4000,5370
208100,25,113.4000,5370
208200,25,113.4000,5370
208300,25,113.4000,5370
208400,25,113.4000,5370
208500,25,113.4000,5370
208600,25,113.4000,5370
208700,25,113.4000,5370
208800,25,113.4000,5370
208900,25,113.4000,5370
209000,25,113.4000,5370
209100,25,113.4000,5370
209200,25,113.4000,5370
209300,25,113.4000,5370
209400,25,113.4000,5370
209500,25,113.4000,5370
209600,25,113.4000,5370
209700,25,113.4000,5370
209800,25,113.4000,5370
209900,25,113.4000,5370
210000,25,113.4000,5370
210100,25,113.4000,5370
210200,25,113.4000,5370
210300,25,113.4000,5370
210400,25,113.4000,5370
210500,25,113.4000,5370
210600,25,113.4000,5370
210700,25,113.4000,5370
210800,25,113.4000,5370
210900,25,113.4000,5370
211000,25,113.4000,5370
211100,25,113.4000,5370
211200,25,113.4000,5370
211300,25,113.4000,5370
211400,25,113.4000,5370
211500,25,113.4000,5370
211600,25,113.4000,5370
211700,25,113.4000,5370
211800,25,113.4000,5370
211900,25,113.4000,5370
212000,25,113.4000,5370
212100,25,113.4000,5370
212200,25,113.4000,5370
212300,25,113.4000,5370
212400,25,113.4000,5370
212500,25,113.4000,5370
212600,25,113.4000,5370
212700,25,113.4000,5370
212800,25,113.4000,5370
212900,25,113.4000,5370
213000,25,113.4000,5370
213100,25,113.4000,5370
213200,25,113.4000,5370
213300,25,113.4000,5370
213400,25,113.4000,5370
213500,25,113.4000,5370
213600,25,113.4000,5370
213700,25,113.4000,5370
213800,25,113.4000,5370
213900,25,113.4000,5370
214000,25,113.4000,5370
214100,25,113.4000,5370
214200,25,113.4000,5370
214300,25,113.4000,5370
214400,25,113.4000,5370
214500,25,113.4000,5370
214600,25,113.4000,5370
214700,25,113.4000,5370
214800,25,113.4000,5370
214900,25,113.4000,5370
215000,25,113.4000,5370
215100,25,113.4000,5370
215200,25,113.4000,5370
215300,25,113.4000,5370
215400,25,113.4000,5370
215500,25,113.4000,5370
215600,25,113.4000,5370
215700,25,113.4000,5370
215800,25,113.4000,5370
215900,25,113.4000,5370
216000,25,113.4000,5370
216100,25,113.4000,5370
216200,25,113.4000,5370
216300,25,113.4000,5370
216400,25,113.4000,5370
216500,25,113.4000,5370
216600,25,113.4000,5370
216700,25,113.4000,5370
216800,25,113.4000,5370
216900,25,113.4000,5370
